"2014-11-12 05:55:37 -0500","MESSAGE","anthraxx42","kk done"
"2014-11-12 05:56:31 -0500","MESSAGE","anthraxx42","(42759)"
"2014-11-12 05:56:44 -0500","MESSAGE","anthraxx42","do you want to file nss bug report? think we should do that also"
"2014-11-12 05:57:08 -0500","MESSAGE","anthraxx42","rgacogne: https://hg.mozilla.org/projects/nss/rev/e9a7991380db"
"2014-11-12 05:58:20 -0500","MESSAGE","rgacogne","ok, i am opening a bug for this issue"
"2014-11-12 05:59:21 -0500","MESSAGE","anthraxx42","sweet, i'm then opening for mantisbt (still no upstream release and 2 new CVE's, think waiting is no good idea)"
"2014-11-12 05:59:37 -0500","MESSAGE","anthraxx42","^^ not ""new"", the one we are already tracking"
"2014-11-12 06:05:52 -0500","MESSAGE","rgacogne","come on, a new issue in imagemagick?"
"2014-11-12 06:06:27 -0500","MESSAGE","anthraxx42","lol :D as i could verify it kind of looks like xD"
"2014-11-12 06:06:41 -0500","MESSAGE","anthraxx42","as i said some days ago: ALL THE SOFTWARE IS BROKEN :D :D :D"
"2014-11-12 06:07:18 -0500","MESSAGE","rgacogne","some software seem to be more broken than others ;)"
"2014-11-12 06:07:28 -0500","MESSAGE","anthraxx42","ideed :P"
"2014-11-12 06:07:47 -0500","MESSAGE","anthraxx42",":%s/ideed/indeed/g"
"2014-11-12 06:52:16 -0500","MESSAGE","rgacogne","CVE-request: systemd-resolved DNS cache poisoning"
"2014-11-12 06:52:18 -0500","MESSAGE","rgacogne","here it begins"
"2014-11-12 07:18:47 -0500","MESSAGE","anthraxx42",":)"
"2014-11-12 07:25:32 -0500","MESSAGE","jelle","oh interesting"
"2014-11-12 07:47:09 -0500","MESSAGE","rgacogne","https://www.eff.org/deeplinks/2014/11/starttls-downgrade-attacks"
"2014-11-12 07:47:10 -0500","MESSAGE","rgacogne","fun"
"2014-11-12 08:14:15 -0500","JOIN","ArchGamer",""
"2014-11-12 08:24:17 -0500","JOIN","fsckd",""
"2014-11-12 08:30:35 -0500","JOIN","fsckd",""
"2014-11-12 08:31:55 -0500","JOIN","fsckd",""
"2014-11-12 09:08:32 -0500","JOIN","tigrmesh",""
"2014-11-12 09:26:41 -0500","JOIN","Guest26357",""
"2014-11-12 10:04:37 -0500","MESSAGE","anthraxx42","writing ASA for mantisbt"
"2014-11-12 10:23:44 -0500","JOIN","andyrtr",""
"2014-11-12 10:25:41 -0500","JOIN","Meeh",""
"2014-11-12 10:40:22 -0500","JOIN","sdfvsfgvsdf",""
"2014-11-12 12:00:51 -0500","JOIN","andyrtr",""
"2014-11-12 12:03:05 -0500","JOIN","tigr",""
"2014-11-12 12:12:58 -0500","JOIN","sdfvsfgvsdf",""
"2014-11-12 12:12:59 -0500","JOIN","sdfvsfgvsdf",""
"2014-11-12 12:14:13 -0500","JOIN","sdfvsfgvsdf",""
"2014-11-12 12:14:35 -0500","MESSAGE","anthraxx42","rgacogne: between 24 - 29 you may have bit more work as i will only be online part-time"
"2014-11-12 12:15:06 -0500","MESSAGE","anthraxx42","conference and participating in Defcamp CTF finals \o/"
"2014-11-12 12:22:22 -0500","MESSAGE","rgacogne","anthraxx42: ok, no worries, i have been a bit under the water at the beginning of novembre, but it should be better now :)"
"2014-11-12 12:23:14 -0500","MESSAGE","rgacogne","(congrats for d-ctf btw :))"
"2014-11-12 12:23:24 -0500","MESSAGE","anthraxx42","thx :D"
"2014-11-12 12:29:43 -0500","JOIN","cpt-oblivious",""
"2014-11-12 12:29:43 -0500","JOIN","cpt-oblivious",""
"2014-11-12 12:44:43 -0500","JOIN","andyrtr",""
"2014-11-12 13:03:53 -0500","JOIN","armguy",""
"2014-11-12 13:25:50 -0500","JOIN","FunkyAss",""
"2014-11-12 13:59:39 -0500","MESSAGE","anthraxx42","ASA for file is coming"
"2014-11-12 14:00:28 -0500","MESSAGE","anthraxx42","oh, not yet, still in testing"
"2014-11-12 15:01:54 -0500","MESSAGE","anthraxx42","not its synced"
"2014-11-12 15:42:19 -0500","JOIN","sdfvsfgvsdf",""
"2014-11-12 16:07:05 -0500","JOIN","ArchGamer",""
"2014-11-12 17:29:01 -0500","JOIN","strcat",""
"2014-11-12 17:29:38 -0500","JOIN","sdfvsfgvsdf",""
"2014-11-12 17:32:15 -0500","MESSAGE","anthraxx42","writing ASA for gnutls"
"2014-11-12 18:20:45 -0500","JOIN","tigr",""
"2014-11-12 19:35:43 -0500","MESSAGE","anthraxx42","oh dear, flashplugin strikes back"
"2014-11-12 19:41:35 -0500","MESSAGE","anthraxx42","^^ 17 CVEs for flashplugin /o\"
"2014-11-12 19:42:02 -0500","MESSAGE","strcat","which is why pepper flash is a Good Thing, it runs in a sandbox"
"2014-11-12 19:42:16 -0500","MESSAGE","strcat","or just not using flash (but sometimes you have no choice)"
"2014-11-12 19:44:22 -0500","JOIN","crankyop",""
"2014-11-12 20:10:08 -0500","MESSAGE","anthraxx42","strcat: yep i do not use flash anymore. YT runs fine with html5"
"2014-11-12 20:11:09 -0500","MESSAGE","anthraxx42","i dont feel secure if flash is installed :P"
"2014-11-12 20:21:30 -0500","JOIN","ArchGamer",""
"2014-11-12 20:28:59 -0500","JOIN","strcat",""
"2014-11-12 23:04:40 -0500","JOIN","tigrmesh",""
"2014-11-12 23:12:20 -0500","JOIN","eagle",""
