"2014-11-10 20:37:34 -0500","LEAVE","orik",""
"2014-11-10 20:38:03 -0500","LEAVE","LotusBleu",""
"2014-11-10 20:38:30 -0500","LEAVE","erdic",""
"2014-11-10 20:38:30 -0500","LEAVE","tetrah",""
"2014-11-10 20:38:31 -0500","LEAVE","funnel",""
"2014-11-10 20:38:49 -0500","LEAVE","rayn",""
"2014-11-10 20:38:51 -0500","LEAVE","ps-aux",""
"2014-11-10 20:39:03 -0500","LEAVE","danemacmillan",""
"2014-11-10 20:39:47 -0500","LEAVE","rickc",""
"2014-11-10 20:40:14 -0500","LEAVE","Kazz",""
"2014-11-10 20:41:25 -0500","LEAVE","FaV1r3s",""
"2014-11-10 20:42:35 -0500","LEAVE","BalooBear",""
"2014-11-10 20:43:15 -0500","LEAVE","JeanCarloMachado",""
"2014-11-10 20:43:34 -0500","LEAVE","whatupx",""
"2014-11-10 20:44:02 -0500","LEAVE","brucelee",""
"2014-11-10 20:44:14 -0500","LEAVE","Macuser",""
"2014-11-10 20:44:51 -0500","LEAVE","skyroveRR",""
"2014-11-10 20:46:04 -0500","LEAVE","Genericenemy",""
"2014-11-10 20:46:13 -0500","LEAVE","jobewan",""
"2014-11-10 20:46:22 -0500","LEAVE","maestrojed",""
"2014-11-10 20:46:46 -0500","LEAVE","mikesplain",""
"2014-11-10 20:47:17 -0500","LEAVE","rayn",""
"2014-11-10 20:47:22 -0500","LEAVE","ryt",""
"2014-11-10 20:47:34 -0500","LEAVE","azeemnow",""
"2014-11-10 20:48:23 -0500","LEAVE","davispuh",""
"2014-11-10 20:48:25 -0500","LEAVE","code_zombie",""
"2014-11-10 20:48:38 -0500","LEAVE","Kazz",""
"2014-11-10 20:48:45 -0500","LEAVE","electrojustin",""
"2014-11-10 20:50:02 -0500","LEAVE","raWrz",""
"2014-11-10 20:50:02 -0500","LEAVE","hostile",""
"2014-11-10 20:50:03 -0500","LEAVE","otherflow",""
"2014-11-10 20:50:08 -0500","LEAVE","otherflow",""
"2014-11-10 20:51:19 -0500","LEAVE","erdic",""
